DEPTH (FT)	CALI (IN)	GR (GAPI)	NPHISS	RHOB (G/C3)	RILD (OHMM)	SP (MV)	RFOC (OHMM)
10083.25	10.766	95.136	0.414	2.345	0.771	-1.983	0.814
10083.5	10.762	95.328	0.413	2.346	0.771	-2.106	0.818
10083.75	10.752	95.847	0.413	2.346	0.77	-2.143	0.818
10084	10.738	96.469	0.413	2.346	0.77	-2.107	0.816
10084.25	10.72	96.931	0.414	2.346	0.769	-2.038	0.812
10084.5	10.7	97.133	0.416	2.346	0.768	-1.996	0.808
10084.75	10.678	97.125	0.418	2.345	0.767	-2.046	0.802
10085	10.657	97.134	0.419	2.344	0.765	-2.23	0.797
10085.25	10.638	97.418	0.42	2.342	0.762	-2.554	0.791
10085.5	10.619	98.011	0.421	2.34	0.759	-3.011	0.787
10085.75	10.603	98.785	0.421	2.337	0.756	-3.582	0.784
10086	10.59	99.603	0.421	2.335	0.752	-4.241	0.782
10086.25	10.579	100.349	0.421	2.332	0.748	-4.946	0.779
10086.5	10.572	100.895	0.421	2.329	0.745	-5.639	0.774
10086.75	10.568	101.163	0.423	2.327	0.741	-6.253	0.766
10087	10.566	101.056	0.426	2.324	0.738	-6.726	0.755
10087.25	10.566	100.706	0.429	2.322	0.735	-7.022	0.744
10087.5	10.566	100.42	0.433	2.32	0.732	-7.143	0.734
10087.75	10.567	100.481	0.436	2.319	0.728	-7.125	0.727
10088	10.569	100.915	0.437	2.317	0.723	-7.02	0.723
10088.25	10.571	101.536	0.438	2.315	0.719	-6.874	0.719
10088.5	10.574	102.046	0.438	2.313	0.716	-6.719	0.716
10088.75	10.578	102.181	0.437	2.311	0.715	-6.587	0.713
10089	10.58	101.907	0.436	2.31	0.715	-6.51	0.711
10089.25	10.582	101.43	0.434	2.308	0.717	-6.512	0.713
10089.5	10.583	100.892	0.431	2.307	0.72	-6.605	0.717
10089.75	10.582	100.303	0.428	2.306	0.724	-6.779	0.725
10090	10.58	99.571	0.423	2.305	0.727	-7.014	0.735
10090.25	10.579	98.61	0.418	2.305	0.729	-7.29	0.744
10090.5	10.58	97.568	0.412	2.305	0.731	-7.592	0.753
10090.75	10.585	96.739	0.408	2.306	0.732	-7.894	0.761
10091	10.594	96.257	0.405	2.306	0.733	-8.166	0.767
10091.25	10.607	96.084	0.405	2.308	0.735	-8.383	0.772
